State,County,Income
Georgia,Bacon,"33,080"
Georgia,Baker,"38,666"
Georgia,Baldwin,"33,203"
Georgia,Banks,"36,276"
Georgia,Barrow,"36,898"
Georgia,Bartow,"38,298"
Georgia,Ben Hill,"31,436"
Georgia,Berrien,"31,535"
Georgia,Bibb,"41,709"
Georgia,Bleckley,"33,672"
Georgia,Brantley,"27,413"
Georgia,Brooks,"34,944"
Georgia,Bryan,"52,456"
Georgia,Bulloch,"32,382"
Georgia,Burke,"35,524"
Georgia,Butts,"34,297"
Georgia,Calhoun,"24,638"
Georgia,Camden,"36,113"
Georgia,Candler,"31,385"
Georgia,Carroll,"38,571"
Georgia,Catoosa,"35,158"
Georgia,Charlton,"24,976"
Georgia,Chatham,"47,563"
Georgia,Chattahoochee,"31,115"
Georgia,Chattooga,"30,946"
Georgia,Cherokee,"51,137"
Georgia,Clarke,"33,970"
Georgia,Clay,"31,520"
Georgia,Clayton,"28,020"
Georgia,Clinch,"37,548"
Georgia,Cobb,"57,162"
Georgia,Coffee,"32,644"
Georgia,Colquitt,"32,526"
Georgia,Columbia,"49,473"
Georgia,Cook,"32,524"
Georgia,Coweta,"46,438"
Georgia,Crawford,"33,784"
Georgia,Crisp,"32,540"
Georgia,Dade,"35,640"
Georgia,Dawson,"45,201"
Georgia,Decatur,"36,150"
Georgia,DeKalb,"50,871"
Georgia,Dodge,"30,682"
Georgia,Dooly,"28,297"
Georgia,Dougherty,"34,744"
Georgia,Douglas,"35,230"
Georgia,Early,"38,945"
Georgia,Echols,"27,880"
Georgia,Effingham,"41,942"
Georgia,Elbert,"35,448"
Georgia,Emanuel,"32,187"
Georgia,Evans,"35,212"
Georgia,Fannin,"35,727"
Georgia,Fayette,"63,515"
Georgia,Floyd,"38,524"
Georgia,Forsyth,"62,580"
Georgia,Franklin,"36,672"
Georgia,Fulton,"84,386"
Georgia,Gilmer,"35,419"
Georgia,Glascock,"33,931"
Georgia,Glynn,"46,073"
Georgia,Gordon,"36,947"
Georgia,Grady,"34,899"
Georgia,Greene,"55,396"
Georgia,Gwinnett,"41,458"
Georgia,Habersham,"33,925"
Georgia,Hall,"43,701"
Georgia,Hancock,"29,917"
Georgia,Haralson,"36,508"
Georgia,Harris,"47,469"
Georgia,Hart,"38,125"
Georgia,Heard,"31,144"
Georgia,Henry,"39,184"
Georgia,Houston,"42,625"
Georgia,Irwin,"32,824"
Georgia,Jackson,"42,211"
Georgia,Jasper,"40,606"
Georgia,Jeff Davis,"29,943"
Georgia,Jefferson,"34,034"
Georgia,Jenkins,"29,250"
Georgia,Johnson,"26,195"
Georgia,Jones,"37,618"
Georgia,Lamar,"33,079"
Georgia,Lanier,"27,561"
Georgia,Laurens,"37,372"
Georgia,Lee,"47,258"
Georgia,Liberty,"35,805"
Georgia,Lincoln,"37,333"
Georgia,Long,"27,071"
Georgia,Lowndes,"37,443"
Georgia,Lumpkin,"37,427"
Georgia,McDuffie,"36,982"
Georgia,McIntosh,"29,519"
Georgia,Macon,"31,028"
Georgia,Madison,"36,557"
Georgia,Marion,"29,333"
Georgia,Meriwether,"34,847"
Georgia,Miller,"40,826"
Georgia,Mitchell,"35,069"
Georgia,Monroe,"44,790"
Georgia,Montgomery,"29,408"
Georgia,Morgan,"50,541"
Georgia,Murray,"29,968"
Georgia,Muscogee,"44,149"
Georgia,Newton,"33,750"
Georgia,Oconee,"66,740"
Georgia,Oglethorpe,"37,709"
Georgia,Paulding,"37,727"
Georgia,Peach,"38,066"
Georgia,Pickens,"47,887"
Georgia,Pierce,"36,065"
Georgia,Pike,"39,851"
Georgia,Polk,"32,368"
Georgia,Pulaski,"30,358"
Georgia,Putnam,"41,839"
Georgia,Quitman,"30,902"
Georgia,Rabun,"41,128"
Georgia,Randolph,"33,238"
Georgia,Richmond,"38,196"
Georgia,Rockdale,"35,244"
Georgia,Schley,"30,931"
Georgia,Screven,"35,010"
Georgia,Seminole,"40,217"
Georgia,Spalding,"34,772"
Georgia,Stephens,"38,915"
Georgia,Stewart,"22,771"
Georgia,Sumter,"35,847"
Georgia,Talbot,"34,504"
Georgia,Taliaferro,"33,927"
Georgia,Tattnall,"28,406"
Georgia,Taylor,"30,141"
Georgia,Telfair,"20,923"
Georgia,Terrell,"40,325"
Georgia,Thomas,"44,355"
Georgia,Tift,"37,805"
Georgia,Toombs,"35,517"
Georgia,Towns,"37,858"
Georgia,Treutlen,"30,119"
Georgia,Troup,"36,476"
Georgia,Turner,"34,396"
Georgia,Twiggs,"39,530"
Georgia,Union,"36,581"
Georgia,Upson,"35,133"
Georgia,Walker,"32,826"
Georgia,Walton,"40,458"
Georgia,Ware,"33,906"
Georgia,Warren,"34,598"
Georgia,Washington,"35,296"
Georgia,Wayne,"31,954"
