"","State","County","totalDeaths","totalCases","Income.2018","Beds","Pop.2019","popDens","StayHomeDate"
"311","Michigan","Antrim",0,10,47070,NA,23324,49.6,"2020-03-24"
"312","Michigan","Arenac",1,16,37369,25,14883,43.8,"2020-03-24"
"313","Michigan","Baraga",0,0,33519,15,8209,9.9,"2020-03-24"
"314","Michigan","Barry",1,29,44919,49,61550,107,"2020-03-24"
"315","Michigan","Bay",2,115,41722,389,103126,243.7,"2020-03-24"
"316","Michigan","Benzie",0,4,43557,8,17766,54.8,"2020-03-24"
"317","Michigan","Berrien",14,215,47430,512,153401,276.2,"2020-03-24"
"318","Michigan","Branch",2,48,37622,96,43517,89.4,"2020-03-24"
"319","Michigan","Calhoun",10,202,40276,317,134159,192.8,"2020-03-24"
"320","Michigan","Cass",2,26,44994,25,51787,106.7,"2020-03-24"
"321","Michigan","Charlevoix",1,13,52885,25,26143,62.3,"2020-03-24"
"322","Michigan","Cheboygan",1,17,40080,NA,25276,36.6,"2020-03-24"
"323","Michigan","Chippewa",0,2,34269,82,37349,24.7,"2020-03-24"
"324","Michigan","Clare",1,10,34120,49,30950,54.8,"2020-03-24"
"325","Michigan","Clinton",9,109,46518,25,79595,133.1,"2020-03-24"
"326","Michigan","Crawford",3,46,34648,71,14029,25.3,"2020-03-24"
"327","Michigan","Delta",2,12,40551,25,35784,31.7,"2020-03-24"
"328","Michigan","Dickinson",2,3,49397,96,25239,34.4,"2020-03-24"
"329","Michigan","Eaton",5,115,42693,45,110268,187.4,"2020-03-24"
"330","Michigan","Emmet",2,21,57115,178,33415,69.9,"2020-03-24"
"331","Michigan","Genesee",161,1467,41068,1169,405813,668.5,"2020-03-24"
"332","Michigan","Gladwin",1,11,36874,25,25449,51.2,"2020-03-24"
"333","Michigan","Gogebic",1,4,39945,25,13975,14.9,"2020-03-24"
"334","Michigan","Grand Traverse",5,19,50639,377,93088,187.3,"2020-03-24"
"335","Michigan","Gratiot",1,8,37834,67,40711,74.7,"2020-03-24"
"336","Michigan","Hillsdale",14,113,36598,65,45605,78.1,"2020-03-24"
"337","Michigan","Houghton",0,2,37674,61,35684,36.3,"2020-03-24"
"338","Michigan","Huron",0,13,45425,88,30981,39.6,"2020-03-24"
"339","Michigan","Ingham",9,406,40761,1123,292406,505.1,"2020-03-24"
"340","Michigan","Ionia",2,43,35273,47,64697,111.9,"2020-03-24"
"341","Michigan","Iosco",4,33,37970,49,25127,47.1,"2020-03-24"
"342","Michigan","Iron",0,0,44959,25,11066,10.1,"2020-03-24"
"343","Michigan","Isabella",7,55,35501,118,69872,122.8,"2020-03-24"
"344","Michigan","Jackson",16,327,39832,389,158510,228.4,"2020-03-24"
"345","Michigan","Kalamazoo",11,292,48723,821,265066,445.7,"2020-03-24"
"346","Michigan","Kalkaska",2,17,34623,8,18038,30.6,"2020-03-24"
"347","Michigan","Kent",32,1031,53935,1860,656955,711.5,"2020-03-24"
"348","Michigan","Keweenaw",0,0,47618,NA,2116,4,"2020-03-24"
"349","Michigan","Lake",0,2,31813,NA,11853,20.3,"2020-03-24"
"350","Michigan","Lapeer",24,165,43679,183,87607,137.4,"2020-03-24"
"351","Michigan","Leelanau",0,9,67320,NA,21761,62.5,"2020-03-24"
"352","Michigan","Lenawee",0,82,39600,113,98451,133.3,"2020-03-24"
"353","Michigan","Livingston",14,315,58326,177,191995,320.2,"2020-03-24"
"354","Michigan","Luce",0,1,31827,25,6229,7.4,"2020-03-24"
"355","Michigan","Mackinac",0,5,44457,15,10799,10.9,"2020-03-24"
"356","Michigan","Macomb",520,5203,46530,1322,873972,1754.9,"2020-03-24"
